,Value,All NACE branches,Casting of iron,Iron and steel,Manufacture of basic metals,Manufacture of basic pharmaceutical products and pharmaceutical preparations,"Manufacture of cement, lime and plaster",Manufacture of chemicals and chemical products,"Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of food products, beverages and tobacco",Manufacture of furniture,Manufacture of glass and glass products,Manufacture of leather and related products,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other non-metallic mineral products,Manufacture of other products of first processing of steel,Manufacture of other transport equipment,Manufacture of paper and paper products,Manufacture of rubber and plastic products,Manufacture of textiles,Manufacture of wearing apparel,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Mining support service activities,Non-ferrous metals industries,Other manufacturing,Other mining and quarrying,Other non-metallic mineral products,Printing and reproduction of recorded media,CHP electricity production,Total electricity production,Distribution and transmission losses,Energy sector,Exports,Final consumption in agriculture,Final consumption in comercial and public services,Final consumption in construction,Final consumption in fishing,Final consumption in households,Final consumption in industry,Final consumption in transport,"Final consumption, total",Gross inland consumption,Imports,Transformation input in other industries,Transformation input in power plants and  heat plants,"Transformation input, total",Transformation output in power plants and  heat plants,"Transformation output, total",Transformation outputin other industries,label,01,02,03,04,05,06,07,08,09,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.78150000000005,847.4781000000002,3716.8317,809.0991,564.8691,77.4558,0.0,528.9324,1560.9786000000001,63.4998,3604.8348000000005,-3592.9722,123.85950000000001,0.0,11.8626,11.8626,8511.415500000001,8522.9292,11.5137,5041.9538999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0
